participant_number,order,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_cfr_answer,trial_1_response,trial_1_score,trial_2,trial_2_cfr_answer,trial_2_response,trial_2_score,trial_3,trial_3_cfr_answer,trial_3_response,trial_3_score,trial_4,trial_4_cfr_answer,trial_4_response,trial_4_score,trial_1_to_4_total_score,trial_5,trial_5_cfr_answer,trial_5_response,trial_5_score,trial_6,trial_6_cfr_answer,trial_6_response,trial_6_score,trial_7,trial_7_cfr_answer,trial_7_response,trial_7_score,trial_8,trial_8_cfr_answer,trial_8_response,trial_8_score,trial_5_to_8_total_score,notes,exclude,exclude_reason,notes,,
1,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_8,164015,67ae7f17-4d56-4bee-9655-06badcc2e53d,1095-1460,1140,3.12,male,en es,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,order1_vase_left_bear_right,vase,vase,1,order1_basketball_left_egg_right,egg,basketball,0,3,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_phone_left_duck_right_granny,phone,phone,1,2,,,,,164142,
2,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_10,164052,99d37fd7-c724-40c6-a528-a7202fc60f9f,1095-1460,1440,3.95,male,en es,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,order1_vase_left_bear_right,vase,vase,1,order1_basketball_left_egg_right,egg,basketball,0,3,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,2,I love toy_bears,,,,164618,
3,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_21,164305,eaa2ceba-6374-46b9-951a-94a889279435,1095-1460,1140,3.12,male,en,harry,harry,order1_bear_left_vase_right,vase,vase,1,order1_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order1_phone_left_duck_right,phone,ducky,0,order1_basketball_left_egg_right,egg,egg,1,2,order1_phone_left_duck_right_granny,phone,ducky,0,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,,,,,164686,
4,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_1,164501,ff1c27bc-6190-4797-8137-dc730dc78570,1095-1460,1380,3.78,female,en es,benji,harry,order1_vase_left_bear_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_egg_left_basketball_right,egg,basketball,0,order1_phone_left_duck_right,phone,phone,1,2,order1_vase_left_bear_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,basketball,0,3,,,,,164697,
5,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_2,164531,74c8886d-9dbd-4bd0-b180-24949c1ba5d6,1095-1460,1170,3.21,male,en,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order1_vase_left_bear_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,ducky,0,order1_basketball_left_egg_right,egg,egg,1,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_phone_left_duck_right_granny,phone,ducky,0,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_basketball_left_egg_right_granny,egg,egg,1,1,,,,,,
6,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_3,164557,4b2e8785-f26f-43e6-9c5b-9977709eabd5,1095-1460,1260,3.45,female,en fr,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,phone,1,order1_basketball_left_egg_right,egg,egg,1,3,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,ducky,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,2,,,,,,
7,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_8,164611,f7fd4a9c-2e57-4d98-a6bf-d1352e8f95ca,1095-1460,1110,3.04,female,en,benji,harry,order1_duck_left_phone_right,phone,ducky,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,basketball,0,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_basketball_left_egg_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,4,,,,,,order 1 = you before granny
8,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_4,164834,60894b8f-c9d9-4e59-a4e7-9feab19da638,1095-1460,1320,3.62,female,en,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,ducky,0,order1_bear_left_vase_right,vase,vase,1,order1_basketball_left_egg_right,egg,egg,1,3,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_phone_left_duck_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_basketball_left_egg_right_granny,egg,egg,1,3,,,,,,order 2 = granny before you
9,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_6,164852,bdd2a580-68d4-4343-b866-5c483cef3820,1095-1460,1260,3.45,male,en,benji,harry,order1_basketball_left_egg_right,egg,basketball,0,order1_vase_left_bear_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream and sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_duck_left_phone_right_granny,phone,phone,1,2,,,,,,
10,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_3,174950,96f32b6d-a4d3-4b08-a818-b3a368143faf,1095-1460,1200,3.29,male,en,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,3,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,egg,1,order1_phone_left_duck_right_granny,phone,phone,1,3,,,,,,
11,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_8,175080,a84d6b0a-57cb-49ff-b407-d270e7cfdf70,1095-1460,1140,3.12,male,en,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,ducky,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,order1_bear_left_vase_right_granny,vase,vase,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_egg_left_basketball_right_granny,egg,egg,1,4,,,,,,
12,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_14,175187,16a12ac3-0721-40e6-becc-be3d0602347a,1095-1460,1140,3.12,female,en,benji,harry,order1_basketball_left_egg_right,egg,basketball,0,order1_bear_left_vase_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,ducky,0,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,3,,,,,,
13,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_15,175202,23f7adda-9e14-4914-84c7-36d0d75f0070,1095-1460,1260,3.45,female,en,benji,harry,order1_phone_left_duck_right,phone,ducky,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_basketball_left_egg_right,egg,basketball,0,order1_vase_left_bear_right,vase,toy_bear,0,1,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_phone_left_duck_right_granny,phone,ducky,0,1,,,,,,
